2.217740	10.938880	3.701794
0.730879	11.019277	4.715694
-0.915821	10.383124	5.084347
-2.309827	9.294880	4.712833
-3.226674	8.089254	3.720077
-3.646910	7.018904	2.315082
-3.684821	6.115356	0.736398
-3.489496	5.291769	-0.876169
-3.204747	4.426747	-2.453603
-2.970946	3.394719	-3.934486
-2.940001	2.096226	-5.204813
-3.269270	0.528342	-6.049202
-4.050632	-1.091994	-6.169879
-5.169882	-2.280000	-5.414754
-6.307633	-2.640288	-4.062032
-7.224614	-2.208961	-2.560753
-7.886553	-1.223992	-1.185853
-8.292103	0.107265	-0.016599
-8.404245	1.650595	0.938345
-8.194844	3.293406	1.689624
-7.638264	4.929861	2.253971
-6.714292	6.445027	2.646742
-5.423475	7.701655	2.879116
-3.814677	8.537225	2.960405
-2.020378	8.790980	2.900592
-0.260883	8.431487	2.650077
1.239828	7.553809	2.134743
2.293648	6.324369	1.319322
2.764278	4.963793	0.218548
2.627449	3.665914	-1.042019
1.973468	2.519824	-2.290297
0.918673	1.545454	-3.404934
-0.429958	0.720976	-4.304191
-1.981759	0.005250	-4.926987
-3.653977	-0.647604	-5.218511
-5.354559	-1.280868	-5.117329
-6.939248	-1.871465	-4.466891
-8.109473	-2.239635	-3.144946
-8.447689	-2.178032	-1.381424
-7.839330	-1.655697	0.231370
-6.592876	-0.844312	1.260457
-5.081934	0.081432	1.652338
-3.540120	1.041857	1.561321
-2.063303	2.038099	1.184957
-0.674495	3.114351	0.705575
0.620063	4.326371	0.294262
1.790316	5.708384	0.130417
2.745180	7.227832	0.399726
3.272829	8.772147	1.183270
3.128109	10.114166	2.382861
