x_0	x_1	x_2
4.53686	7.07553	3.2869
3.20342	6.91391	4.82603
1.6536	6.28741	6.0077
0.00321928	5.28691	6.68494
-1.59353	4.00965	6.79688
-3.05084	2.65428	6.32932
-4.25701	1.36317	5.32786
-5.14834	0.305569	3.84603
-5.67673	-0.444622	2.05177
-5.89824	-0.847211	0.102689
-6.05123	-0.894462	-1.8873
-6.47296	-0.621346	-3.81407
-7.40402	-0.0172417	-5.45026
-8.88468	0.875506	-6.38906
-10.5455	1.93221	-6.33913
-11.7973	3.13452	-5.41284
-12.1913	4.41377	-3.98472
-11.6628	5.66682	-2.58601
-10.4014	6.72672	-1.54192
-8.70416	7.49809	-0.925904
-6.79175	7.88055	-0.68616
-4.83016	7.76771	-0.700187
-2.99899	7.07696	-0.774351
-1.50436	5.8207	-0.619495
-0.397651	4.29922	0.00291256
0.520047	2.77015	0.941707
1.51686	1.34543	1.97191
2.74188	0.0685078	2.90062
4.22894	-1.10121	3.43559
5.76654	-2.3164	3.41564
7.09707	-3.67371	2.9321
7.9869	-5.23325	2.15181
8.32015	-6.9617	1.31218
8.00142	-8.76595	0.642203
6.95171	-10.3756	0.269651
5.30684	-11.4462	0.235662
3.35273	-11.6625	0.319481
1.50203	-11.0031	0.251192
0.204784	-9.62327	-0.245962
-0.165955	-7.91617	-1.15035
0.276027	-6.26971	-2.16617
1.15812	-4.76694	-3.13677
2.2138	-3.29474	-3.98454
3.30893	-1.72239	-4.56403
4.37289	-0.027643	-4.69321
5.26914	1.73054	-4.27442
5.90673	3.41464	-3.35187
6.20276	4.88129	-1.98163
6.05958	6.02184	-0.302166
5.50091	6.75986	1.51593
